Date/Heure;;;;;;;;;;;;
Date/Heure;;;;;;;;;;;;
Date/Heure;;;;;;;;;;;;
Date/Heure;;;;;;;;;;;;
date/dHeure;;;;;;;;;;;;
d;;;;;;;;;;;;
;;;;;;;;;;;;
d;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
d;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Date/Heure;Type;Mano13.1 (V) (V);Mano13.2 (V) (V);Mano1 200 (V) (V);Voie 1000 (Pa);Voie 200 (Pa);V ManoRec 200 (m+AF8-s1);;;Pulse Channel 1 (Hz);;
01/03/2022 13;17;"H29";23;4.996;5.004;5.015;0.093;;;Mac Inox H29 [m/s];Dummy;qdfsg
01/03/2022 13;18;0.0017;23;4.995;5.004;5.017;0.127;;;0;0;0
01/03/2022 13;18;0.0018;23;4.996;5.004;5.017;0.091;;;0.2;0;0.006
01/03/2022 13;18;0.0017;23;4.995;5.004;5.017;0.106;;;Invalid;0;0.006
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.083;;;Invalid;0;0.001
01/03/2022 13;18;0.0017;23;4.995;5.004;5.015;0.127;;;Invalid;0;0.005
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.075;;;Invalid;0;0.001
01/03/2022 13;18;0.0018;23;4.996;5.004;5.017;0.093;;;Invalid;0;0.002
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.093;;;Invalid;0;0.003
01/03/2022 13;18;0.0017;22.9;4.995;5.004;5.017;0.106;;;Invalid;0;0.002
01/03/2022 13;18;0.0017;23;4.995;5.004;5.017;0.114;;;Invalid;0;0.002
01/03/2022 13;18;0.0017;23;4.996;5.004;5.015;0.054;;;Invalid;0;0.006
01/03/2022 13;18;0.0018;23;4.996;5.004;5.017;0.073;;;Invalid;0;0.003
01/03/2022 13;18;0.0017;23;4.996;5.004;5.015;0.096;;;Invalid;0;0.005
01/03/2022 13;18;0.0017;23;4.995;5.004;5.017;0.132;;;Invalid;0;0.009
01/03/2022 13;18;0.0018;23;4.996;5.004;5.015;0.065;;;Invalid;0;0.009
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.078;;;Invalid;0;0.007
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.036;;;Invalid;0;0.002
01/03/2022 13;18;0.0018;22.9;4.996;5.004;5.017;0.093;;;Invalid;0;0.003
01/03/2022 13;18;0.0016;23;4.996;5.004;5.017;0.083;;;Invalid;0;0.002
01/03/2022 13;18;0.0016;22.9;4.996;5.004;5.017;0.091;;;Invalid;0;0.001
01/03/2022 13;18;0.0017;23;4.996;5.004;5.017;0.101;;;Invalid;0;0.001
01/03/2022 13;18;0.0017;23;4.995;5.004;5.015;0.122;;;Invalid;0;0.007
01/03/2022 13;18;0.0017;23;4.995;5.004;5.018;0.106;;;Invalid;0;0.008
01/03/2022 13;18;0.0016;23;4.996;5.004;5.017;0.08;;;Invalid;0;0.006
01/03/2022 13;18;0.0016;23;4.995;5.004;5.014;0.145;;;Invalid;0;0.003
01/03/2022 13;18;0.0017;23;4.995;5.004;5.015;0.106;;;Invalid;0;0.009
01/03/2022 13;18;0.0016;23;4.996;5.004;5.017;0.062;;;Invalid;0;0.009
01/03/2022 13;18;0.0017;23;4.996;5.004;5.014;0.07;;;Invalid;0;0
01/03/2022 13;18;0.0017;23;4.995;5.004;5.018;0.104;;;Invalid;0;0.002
01/03/2022 13;18;0.0016;23;4.996;5.004;5.017;0.091;;;Invalid;0;0.003
