Détails d'enregistreur :;;;;;;;;;;;;;
'Type d''enregistreur';1F8;;;;;;;;;;;;
Num?ro de s?rie;KS1512003;;;;;;;;;;;;
firmware du Contr?leur;5.1;;;;;;;;;;;;
'firmware d''acquisition';5.1;;;;;;;;;;;;
Identit? de l?enregistreur;Identit? de l?enreg;;;;;;;;;;;;
;;;;;;;;;;;;;
Job D?tails;;;;;;;;;;;;;
Nombre de canaux analogiques;9;;;;;;;;;;;;
Nombre de canaux num?riques;1;;;;;;;;;;;;
Nombre total de canaux utilis?s;10;;;;;;;;;;;;
;;;;;;;;;;;;;
Heure d?armement;24/02/2022 14:23:11;;;;;;;;;;;;
Heure de d?sarmement;24/02/2022 16:11:40;;;;;;;;;;;;
Dur?e;01:48:29 AM;;;;;;;;;;;;
Job Description;Nom de la configura;;;;;;;;;;;;
Info de canaux;;;;;;;;;;;;;
Description;;V1 (V);'Tc (''C)';Mano13.1 (V) (V);Mano13.2 (V) (V);Mano1 200 (V) (V);'Ref. Junction 1 (''C)';Voie 1000 (Pa);Voie 200 (Pa);V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;
Interv. mesure;;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;Non enregistr?;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;;
Intervalle;;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;Non enregistr?;12:00:01 AM;12:00:01 AM;12:00:01 AM;12:00:01 AM;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Date/Heure;Type;V1 (V);'Tc (''C)';Mano13.1 (V) (V);Mano13.2 (V) (V);Mano1 200 (V) (V);;Voie 1000 (Pa);Voie 200 (Pa);V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;
24/02/2022 14:23:43;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.009;Invalid;0;0.129560665;
24/02/2022 14:23:44;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.132;0.009;Invalid;0;0.129560665;
24/02/2022 14:23:45;Intervalle;0.0044;25.7;4.995;5.004;5.017;;-0.119;0.01;Invalid;0;0.136568932;
24/02/2022 14:23:46;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.122;0.01;Invalid;0;0.136568932;
24/02/2022 14:23:47;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.008;Invalid;0;0.122150966;
24/02/2022 14:23:48;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.117;0.013;Invalid;0;0.15571254;
24/02/2022 14:23:49;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.132;0.01;Invalid;0;0.136568932;
24/02/2022 14:23:50;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.132;0.013;Invalid;0;0.15571254;
24/02/2022 14:23:51;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.114;0.011;Invalid;0;0.143234704;
24/02/2022 14:23:52;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.117;0.01;Invalid;0;0.136568932;
24/02/2022 14:23:53;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.011;Invalid;0;0.143234704;
24/02/2022 14:23:54;Intervalle;0.0044;25.7;4.995;5.004;5.017;;-0.127;0.009;Invalid;0;0.129560665;
24/02/2022 14:23:55;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.122;0.009;Invalid;0;0.129560665;
24/02/2022 14:23:56;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.117;0.006;Invalid;0;0.10578584;
24/02/2022 14:23:57;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.137;0.012;Invalid;0;0.149603769;
24/02/2022 14:23:58;Intervalle;0.0044;25.6;4.995;5.004;5.019;;-0.132;0.008;0.159;0;0.122150966;
24/02/2022 14:23:59;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.13;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:00;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.111;0.008;Invalid;0;0.122150966;
24/02/2022 14:24:01;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.122;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:02;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.135;0.007;Invalid;0;0.114261766;
24/02/2022 14:24:03;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.153;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:04;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.008;Invalid;0;0.122150966;
24/02/2022 14:24:05;Intervalle;0.0044;25.7;4.995;5.004;5.017;;-0.135;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:06;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:07;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.119;0.008;Invalid;0;0.122150966;
24/02/2022 14:24:08;Intervalle;0.0043;25.7;4.995;5.004;5.017;;-0.124;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:09;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.122;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:10;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.127;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:11;Intervalle;0.0044;25.6;4.995;5.004;5.019;;-0.13;0.011;0.145;0;0.143234704;
24/02/2022 14:24:12;Intervalle;0.0044;25.7;4.995;5.004;5.019;;-0.117;0.011;0.142;0;0.143234704;
24/02/2022 14:24:13;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.132;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:14;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.122;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:15;Intervalle;0.0043;25.7;4.995;5.004;5.017;;-0.124;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:16;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.13;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:17;Intervalle;0.0043;25.6;4.995;5.004;5.019;;-0.13;0.012;0.135;0;0.149603769;
24/02/2022 14:24:18;Intervalle;0.0043;25.7;4.995;5.004;5.017;;-0.127;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:19;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.124;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:20;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.135;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:21;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.127;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:22;Intervalle;0.0044;25.6;4.995;5.004;5.017;;-0.14;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:23;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.119;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:24;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.122;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:25;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.132;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:26;Intervalle;0.0045;25.6;4.995;5.004;5.017;;-0.122;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:27;Intervalle;0.0045;25.7;4.995;5.004;5.017;;-0.119;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:28;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.124;0.007;Invalid;0;0.114261766;
24/02/2022 14:24:29;Intervalle;0.0043;25.6;4.995;5.004;5.019;;-0.119;0.009;0.139;0;0.129560665;
24/02/2022 14:24:30;Intervalle;0.0043;25.6;4.995;5.004;5.019;;-0.122;0.01;0.148;0;0.136568932;
24/02/2022 14:24:31;Intervalle;0.0043;25.7;4.995;5.004;5.019;;-0.127;0.008;0.145;0;0.122150966;
24/02/2022 14:24:32;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.114;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:33;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.124;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:34;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.127;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:35;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.114;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:36;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.127;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:37;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.119;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:38;Intervalle;0.0043;25.6;4.995;5.004;5.019;;-0.124;0.009;0.139;0;0.129560665;
24/02/2022 14:24:39;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.122;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:40;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.122;0.014;Invalid;0;0.161590539;
24/02/2022 14:24:41;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.124;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:42;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.132;0.011;Invalid;0;0.143234704;
24/02/2022 14:24:43;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.127;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:44;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.117;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:45;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.132;0.01;Invalid;0;0.136568932;
24/02/2022 14:24:46;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.135;0.009;Invalid;0;0.129560665;
24/02/2022 14:24:47;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.132;0.012;Invalid;0;0.149603769;
24/02/2022 14:24:48;Intervalle;0.0043;25.6;4.995;5.004;5.017;;-0.119;0.011;Invalid;0;0.143234704;
